"Choose the label that best expresses the emotion expressed in the Tweet. If more than one emotion is plausible, choose the best option. (Note: from the CARER dataset)",,,,,,,
Label,Tweet,,,,,,
fear,i could barely leave the house and i was feeling a lot of isolation and i hated the lack of control i had over my own life because everyone else i knew was moving on with theirs,,,,,,anger
anger,i don t want to feel frustrated about this anymore,,,,,,fear
surprise,i do have to say that at first listen yunhos raps gave me that wtf feeling but after listening a couple times im determined to learn them,,,,,,joy
sadness,i feel more stressed than ever,,,,,,love
sadness,im sure that oft feel ignored after a summer of planting weeding and harvesting have occupied our hearts hands and minds,,,,,,sadness
anger,i cant do either of these things so i end up trying my hardest to suppress these feelings which makes me irritable and is very tiring,,,,,,surprise
anger,i feel like a bitchy selfish idiot,,,,,,
sadness,i know i have certain aspects of my personality attitude that could be improved i have been under the impression that everythings been fine feel absolutely assaulted by the statement that my co workers have been complaining about me behind my back,,,,,,
sadness,i feel lonely few days before my birthday,,,,,,
anger,i was feeling resentful enough to want to write about it here which means i need to work on look getting my hackles raised when others judge me,,,,,,
joy,i feel this command is useful to check the free space in log file for all databases in over go,,,,,,
anger,i stop feeling so mad i ll stop behaving like this,,,,,,
surprise,i forget that im supposed to be sad about being single or stressed about work and just smile and feel peaceful,,,,,,
fear,i might i could not stress to her how important it is to me not to expose my friends to a situation where they may have cause to feel unwelcome or uncomfortable,,,,,,
fear,i moved away he said something that made me feel violent but its something i still cant make out,,,,,,
love,i feel flirty playful sexy reckless,,,,,,
joy,i feel im like a bird flying in the air in a very carefree manner,,,,,,
,i am feeling like it might look just a little suspicious if i go home and dont meet with him,,,,,,
surprise,i feel awkward saying such things,,,,,,
sadness,i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday,,,,,,
surprise,i am not even sure how to formulate my thoughts since i just put it down and am feeling slightly overwhelmed,,,,,,
surprise,i normally would call meaningless and stupid but i guess im feeling a little bit adventurous,,,,,,
anger,i feel that the director editor missed a teachable moment when tiphany makes her comments about it being nice to feel like everyone else,,,,,,
sadness,i think i was addicted to feeling miserable and inadequate especially through the times in college when my teachers drove me to my own breaking point,,,,,,
sadness,i found myself feeling jealous though,,,,,,
