state/region,population,num_positive,governor_party
AL,4833722,108433,republican
AK,735132,5060,republican
AZ,6626624,193537,republican
AR,2959373,52665,republican
CA,38332521,621562,democrat
CO,5268367,52838,democrat
CT,3596080,50897,democrat
DE,925749,16451,democrat
FL,19552860,573416,republican
GA,9992167,237030,republican
HI,1404054,4825,democrat
ID,1612136,27477,republican
IL,12882135,207413,democrat
IN,6570902,80415,republican
IA,3090416,52428,republican
KS,2893957,33885,democrat
KY,4395295,39315,republican
LA,4625470,137918,democrat
ME,1328302,4168,democrat
MD,5928814,100212,republican
MA,6692824,123200,republican
MI,9895622,102259,democrat
MN,5420380,65152,democrat
MS,2991207,72136,republican
MO,6044171,67475,republican
MT,1015165,5750,democrat
NE,1868516,30241,republican
NV,2790136,61305,democrat
NH,1323459,6988,republican
NJ,8899339,187455,democrat
NM,2085287,23302,democrat
NY,19651127,425508,democrat
NC,9848060,144952,democrat
ND,723393,8587,republican
OH,11570808,108287,republican
OK,3850568,48342,republican
OR,3930065,23262,democrat
PA,12773801,124460,democrat
RI,1051511,20335,democrat
SC,4774839,106497,republican
SD,844877,10274,republican
TN,6495978,133708,republican
TX,26448193,535582,republican
UT,2900872,46652,republican
VT,626630,1515,republican
VA,8260405,106687,democrat
WA,6971406,66885,democrat
WV,1854304,8564,democrat
WI,5742713,70246,democrat
WY,582658,3286,republican
