"Instructions
Read each Yelp review below and decide if the review is positive or negative, by choosing from the dropdown. You must choose either positive or negative.",,
Your label,The review,
negative,"After an unpleasant experience at Lotus Grocery on 17 February 2014, I want to caution customers to be careful when paying with cash at the store.   My order was $3.08.  I gave the glum and cold middle aged female cashier $10.10.  She put the $10 bill in the till and gave me $2.02 change, which would have been correct had I given her a $5 bill.  I told her that I gave her a ten dollar bill, and she repeatedly insisted that I did not. I went to the mean middle aged man who appears to be manager or owner and told him of the problem.  He was not interested in hearing it and it eventually fell into the lap of a short, middle aged woman who also appears to be manager, and is one of the nicer people on the staff. I got nowhere until I asked that a count of the register receipts.  The woman who  appears to be in management suggested that I leave my phone number and that I would be called after the store closes and a count is completed. That was not acceptable to me. I asked that a count be conducted while I waited and she agreed.  As she counted and recounted, I waited patiently.  She ultimately concluded that I was right and gave me my $5.00.  She apologized multiple times; the clerk who would have cheated me out of $5 did not. I will be careful when shopping at this store.  I will try to pay with one dollar bills in the future and will announce how much money I am handing to the cashier. There is a bitter taste in my mouth about Lotus Grocery.  Of all places for this to happen, it would have to be one where there is a language barrier and where most of the employees are dismissive of the customer.  This is not Giant Eagle!",
negative,"I recently moved to this area and decided to stop at this Fry's on the way home from work...big mistake.  I guess I've been spoiled by the Fry's Marketplace I used to frequent near PV. This store really is not that big and it kinda gave me the creeps. I left with only a quarter of what I needed to buy because they didn't not carry most of the items I typically buy.  I had to wait in line forever as there were only 2 registers open. The cashier was nice but the bagger was too busy talking and not paying attention that he was literally putting one item in each of my bags. I will not return to this Fry's, lesson learned!",
negative,Decent inexpensive Mexican restaurant. Not particularly special. The food was okay and arrived quickly. \nThis place will feed you if you are hungry and don't have a lot of money in your pocket.,
positive,"Taking a girl here will solidify the win. Trust me. And yea, they have drinks.",
positive,Awesome I have to say. My husband and I saw this in March 2013. Loved the baby carriage in the beginning and once the baby came out and started the comedy acts they were messing with a guy in my area as being his Papa!! hilarious.. The d\u00e9cor was beautiful. The costumes were amazing as well as the story line. I loved the guy in the aerial square. So amazing.,
negative,"I visited the Old Town Tortilla factory about five years ago with fond memories so when back in Scottsdale tonight I decided to give it another go. I should have read the Yelp reviews before going, my experience was nothing special. My waiter was friendly enough but the food was just OK. I ordered the Grilled Mahi Mahi Fish Tacos. Upon my waiters advice I order the \""sauce\"" on the side because I was concerned about them being too spicy. What I received was three \""chunks of fish\"" on three mini tortillas with four small condiment bowls containing the black beans, jalape\u00f1o sauce, guacamole and a white cucumber sauce? It just looked kinda strange and the fish wasn't all that fresh. I didn't complain because my waiter only asked if I wanted dessert.  Maybe it's me but it just wasn't what I expected. I think there are a lot of other good choices in Scottsdale.",
positive,"Called in a delivery order. Lady was super friendly. Got pizza, garlic knots and Italian salad with house dressing. Everything was delicious. Would order from them again for sure.",
negative,"Of the Michaels in Charlotte this one is probably the one I like the least.  The store always looks terrible, but that is partially due to it being an older store.  The other reason the store looks so terrible is because its a mess (empty and disorganized shelves)!  I'm not sure if this store is physically smaller than the other Michaels in the area, but it definitely lacks selection.  Lastly, our cashier wasn't friendly and seemed like she was being in convinced by having to ring up customers.  For these reasons I generally go to Hobby Lobby or wait until I'm on the other side of Charlotte to go to a different Michaels.",
negative,"I was craving ribs and fortunately, my gf was nearby Memphis \""championship\"" BBQ. Note that we been here before and loved the food. so tonight we ordered whole BBQ chicken and full slab of babyback ribs. Ordered 2 Mac n cheeses, fries n hush puppies. Instead they replaced 1 Mac w BBQ beans normally I wouldn't mind but it had an off put taste. I didn't eat it. Mac was like albertsons bought n hush puppies were burnt outside n not cooked thoroughly.  Now the ribs n chicken. Chicken was dry n bland. Ribs were tough, bland, weird color and no BBQ or smoke flavor at all. I doubt that it ever was smoked. Seem like it was either boiled or baked then heat up on the grill when ordered. I'll even put up a $1 it's probably microwaved. We are very disappointed. Leftovers gone straight to trash! Waste of money.",
negative,"I've experienced waayyyyyyy better as a pub downtown. I remember when it opened: it was one of the few spots downtown I liked to go, grab a pint of beer and order some nice pub food on your nice terrasse. Now, not so much.  Let me tell you why in four words: worst customer service ever!  My last two times were awful: we waited too long for our food on lunchtime during a week day last summer; and on another night after a screening at Fantasia, then again a too-long service. And the waiters were rude, you could feel they were rushed to serve too many people at the same time! I could have excused it if it happened only one time, but two in the same month? Nope. I'm a sucker for good service and cool servers/waiters. And I heard friends of mine had the same type of experience at your pub.  So I'm sorry, but you won't see me again in your pub for a damn long time, and I will never recommend your place to my friends when they'll be asking for a pub downtown.",
negative,"The candy here is way overpriced ($12.99 per pound), but I needed a sugar fix. I'd gone a few days without chocolate so I happened to be walking around in The Mirage and wandered to this store. I saw the Britney Spears couture pop advertised in the front and was steering clear of that section. I got a tiny scoop of chocolate covered gummi bears and a few peach flavored gummi penguins. This cost me $3.25 (1/4 lb). Yikes. The selection is the usual gummis that you could buy in a grocery/convenience store for 99 cents a bag. They had a decent variety of chocolate covered items (pretzels, raisins, nuts, coffee beans). Would not go back unless I needed chocolate to survive.  I did notice in the display case and in the back area of the store that they have bra and panty made of candy. Perfect gift for a bachelorette. Those were running $12-$20.",
positive,"I'm not a brunch type of person because I'd rather save my appetite for lunch or dinner. However some of my friends are brunch type people and the last 2 visits to Las Vegas I went here to eat with them. Sometimes I surprise myself for being able to wake up on time for a meal this early in Las Vegas. Might be tricky to find but it's below lobby level of The Venetian. The food here is very good, and the selection of different type of brunch food and pastries is big. Both times that I've been here, we had to order the foie gras spread. So delicious! Corned Beef Hash was what I had and the portions are very big.  Our waitress was friendly and knew the menu very well.",
negative,This place is ok. The food is decent besides the overpriced fajitas that had overcooked meat. The main issue is the terrible service. They argue with you on where you sit and had to ask my waitress to stop grabbing with the hostess to do her job. I am currently trying it again and the waitress is exceptionally impatient and seems to not want to be here at all. The only good experience has been the first time we came here and the manager was fantastic and so was the server. How that has seemed to change. The night crew here is terrible.,
negative,"So one afternoon, stopped by to eat a chicken teriyaki sandwich. Looked pretty good. I have this weird thing of chopping my subs into one bite sizes, so was doing that as usual.\nafter I have half of my sub, I find a piece of chiken..... pink inside. They served me a half raw chicken sub! I mean, I noticed this cause of my weird hobby of chopping my sandwich but if I didn't, I probably wouldn't of noticed. . .  don't wanna think about that. I went to show them that and, they remade me a new chicken teriyaki sub (which was nice) but. . .  I totally lost my appitite and was scared of imagening finding another half raw chicken in my sandwich. There's other subway's in town so probably go to those, never back to this one.",
